carat,clarity,color,cut,depth,table,x,y,z,class,volume
1.26,2,4,2,60.6,60.0,6.97,7.0,4.23,"(5000, 10000]",206.38169471817014
0.8,3,4,4,62.1,54.0,5.96,5.99,3.71,"[0, 5000]",132.44848114865485
0.56,4,2,4,61.7,54.0,5.28,5.32,3.27,"[0, 5000]",91.85299807798012
1.51,3,6,1,64.0,58.0,7.24,7.27,4.64,"(5000, 10000]",244.22545661092403
0.33,6,5,4,62.2,54.0,4.43,4.45,2.76,"[0, 5000]",54.40925537157546
0.66,4,3,1,59.6,60.2,5.66,5.71,3.38,"[0, 5000]",109.2368694834365
0.78,1,4,4,61.9,54.0,5.89,5.85,3.63,"[0, 5000]",125.0770940689658
0.8,1,1,4,61.0,55.0,6.0,6.03,3.67,"[0, 5000]",132.7806073802949
1.65,2,6,2,61.7,56.0,7.61,7.66,4.71,"(5000, 10000]",274.5581475714759
0.2,3,1,2,63.4,59.0,3.74,3.71,2.36,"[0, 5000]",32.745942964612944
1.06,2,3,4,60.5,57.0,6.64,6.59,4.0,"(5000, 10000]",175.0304005332946
0.9,2,1,1,63.5,55.0,6.12,6.22,3.92,"[0, 5000]",149.2202830805053
2.01,2,4,4,60.6,57.0,8.19,8.09,4.92,15000+,325.9849265015941
0.32,2,5,2,63.5,57.0,4.33,4.3,2.74,"[0, 5000]",51.016061541585884
1.02,1,6,2,62.6,60.0,6.39,6.42,4.01,"[0, 5000]",164.50544590732943
1.0,4,2,4,61.7,55.0,6.42,6.39,3.95,"(5000, 10000]",162.0440104960727
0.37,3,1,3,60.6,58.0,4.65,4.62,2.81,"[0, 5000]",60.36722851346967
0.31,3,3,3,62.2,59.0,4.35,4.3,2.69,"[0, 5000]",50.31645219907758
0.53,2,1,2,63.6,57.0,5.12,5.16,3.27,"[0, 5000]",86.39077901042184
1.11,1,1,2,60.0,61.0,6.66,6.71,4.01,"[0, 5000]",179.20129314148693
0.71,2,3,2,62.1,58.0,5.68,5.72,3.54,"[0, 5000]",115.01317506602498
0.3,7,1,3,61.9,58.0,4.26,4.3,2.65,"[0, 5000]",48.54270650825529
0.73,3,6,4,62.3,55.0,5.74,5.78,3.59,"[0, 5000]",119.10614472647079
